StartTime,<15 MPH,<25 MPH,<30 MPH,<35 MPH,<40 MPH,<45 MPH,<50 MPH,<55 MPH,<60 MPH,<65 MPH,<70 MPH,<75 MPH,<80 MPH,<85 MPH,<255 MPH
2016-01-01 17:10:00,0,0,0,0,0,3,25,67,101,75,15,2,0,0,0
2016-01-01 17:15:00,0,0,0,0,0,4,33,76,92,65,16,0,0,0,0
2016-01-01 17:20:00,0,0,0,0,1,8,49,84,72,54,13,1,0,0,0
2016-01-01 17:25:00,0,0,0,0,1,5,23,57,85,60,17,4,1,1,0
2016-01-01 17:30:00,0,0,0,0,2,8,26,67,72,54,14,0,0,0,0
2016-01-01 17:35:00,0,0,0,0,0,6,48,73,82,61,6,2,0,0,0
2016-01-01 17:40:00,0,0,0,0,0,5,34,86,84,47,9,1,0,0,0
2016-01-01 17:45:00,0,0,0,0,0,4,23,71,82,50,9,0,1,0,0
2016-01-01 17:50:00,0,0,0,1,1,3,33,66,72,48,10,2,1,0,0
2016-01-01 17:55:00,0,0,0,0,0,5,28,77,80,26,8,2,0,0,0
2016-01-01 18:00:00,0,0,0,0,0,9,29,99,94,32,2,0,0,0,0
2016-01-01 18:05:00,0,0,0,0,0,0,26,84,91,41,8,0,0,0,0
2016-01-01 18:10:00,0,0,0,0,0,3,20,78,78,53,12,1,1,0,0
2016-01-01 18:15:00,0,0,0,0,0,2,16,77,102,54,10,2,0,0,0
2016-01-01 18:20:00,0,0,0,0,0,2,26,54,88,50,9,1,0,0,0
2016-01-01 18:25:00,0,0,0,0,0,5,38,89,96,37,8,0,0,0,0
2016-01-01 18:30:00,0,0,0,0,2,14,49,76,74,47,9,2,1,0,0
2016-01-01 18:35:00,0,0,0,0,0,1,21,78,90,47,13,5,0,0,0
2016-01-01 18:40:00,0,0,0,0,0,3,16,67,92,45,6,0,0,0,0
2016-01-01 18:45:00,0,0,0,0,0,1,27,57,89,60,12,2,0,0,0
2016-01-01 18:50:00,0,0,0,0,0,2,22,60,78,50,13,1,1,0,0
2016-01-01 18:55:00,0,0,0,1,1,9,27,67,87,39,11,0,0,0,0
2016-01-01 19:00:00,0,0,0,0,0,3,19,54,72,64,16,0,0,0,0
2016-01-01 19:05:00,0,0,0,0,0,2,19,64,71,39,11,1,0,0,0
2016-01-01 19:10:00,0,0,0,0,0,18,43,71,81,63,10,4,1,0,0
2016-01-01 19:15:00,0,0,0,0,0,10,32,66,70,41,8,1,0,0,0
2016-01-01 19:20:00,0,0,0,0,0,4,15,71,74,57,17,1,0,0,0
2016-01-01 19:25:00,0,0,0,0,0,1,45,63,68,27,5,1,0,0,0
2016-01-01 19:30:00,0,0,0,0,0,3,34,59,54,42,12,0,0,1,0
2016-01-01 19:35:00,0,0,0,0,0,3,24,53,90,59,16,3,0,0,0
2016-01-01 19:40:00,0,0,0,0,1,2,16,59,74,50,12,1,0,0,0
2016-01-01 19:45:00,0,0,0,0,0,3,18,45,68,52,12,0,0,0,0
2016-01-01 19:50:00,0,0,0,1,0,4,24,88,66,54,17,1,1,0,0
2016-01-01 19:55:00,0,0,0,0,0,5,12,45,66,48,8,1,0,0,0
2016-01-01 20:00:00,0,0,0,0,1,9,19,67,69,34,8,0,0,0,0
2016-01-01 20:05:00,0,0,0,0,0,4,24,53,73,57,7,1,0,0,0
2016-01-01 20:10:00,0,0,0,0,0,0,30,43,55,47,13,2,0,0,0
2016-01-01 20:15:00,0,0,0,0,0,3,22,58,50,30,7,0,0,0,0
2016-01-01 20:20:00,0,0,0,0,0,1,9,79,60,48,11,2,0,0,0
2016-01-01 20:25:00,0,0,0,0,3,13,20,58,55,29,13,1,0,0,0
2016-01-01 20:30:00,0,0,0,0,0,2,17,51,44,39,18,2,1,0,0
2016-01-01 20:35:00,0,0,0,0,0,6,13,44,65,41,8,3,0,0,0
2016-01-01 20:40:00,0,0,0,0,1,2,14,58,53,44,8,0,0,0,0
2016-01-01 20:45:00,0,0,0,1,0,1,7,54,53,32,6,1,0,0,0
2016-01-01 20:50:00,0,0,0,0,0,3,13,46,59,32,8,0,1,0,0
2016-01-01 20:55:00,0,0,0,0,0,4,17,45,59,45,8,3,0,0,0
2016-01-01 21:00:00,0,0,0,0,1,8,18,51,60,40,5,0,0,0,0
2016-01-01 21:05:00,0,0,0,0,2,1,14,39,57,49,6,2,0,0,0
2016-01-01 21:10:00,0,0,0,0,0,1,13,44,52,44,12,1,0,0,0
2016-01-01 21:15:00,0,0,0,0,0,3,11,38,40,30,9,1,0,0,0
2016-01-01 21:20:00,0,0,0,0,0,3,18,32,53,51,7,2,0,0,0
2016-01-01 21:25:00,0,0,0,0,0,1,12,42,55,40,14,2,0,0,0
2016-01-01 21:30:00,0,0,0,0,0,4,8,41,47,30,2,3,0,0,0
2016-01-01 21:35:00,0,0,0,0,0,0,12,35,61,45,8,1,0,0,0
2016-01-01 21:40:00,0,0,0,0,0,0,18,42,53,39,12,0,0,0,0
2016-01-01 21:45:00,0,0,0,0,0,2,12,41,46,32,11,3,0,0,0
2016-01-01 21:50:00,0,0,0,0,0,3,18,40,73,27,13,0,0,0,0
2016-01-01 21:55:00,0,0,0,0,0,2,10,26,59,49,9,1,1,0,0
2016-01-01 22:00:00,0,0,0,0,0,0,14,35,37,20,12,0,0,0,0
2016-01-01 22:05:00,0,0,0,0,0,9,8,34,57,37,15,1,0,0,0
2016-01-01 22:10:00,0,0,0,0,1,2,18,28,31,23,9,2,0,0,0
2016-01-01 22:15:00,0,0,0,0,0,4,7,34,55,40,6,1,0,0,0
2016-01-01 22:20:00,0,0,0,0,0,2,13,30,38,31,15,1,0,0,0
2016-01-01 22:25:00,0,0,0,0,0,0,12,28,51,37,12,6,1,0,0
2016-01-01 22:30:00,0,0,0,0,0,0,13,39,44,27,8,1,0,0,0
2016-01-01 22:35:00,0,0,0,0,0,3,12,34,40,32,11,0,0,0,0
2016-01-01 22:40:00,0,0,0,0,0,3,19,49,41,38,8,1,0,0,0
2016-01-01 22:45:00,0,0,0,0,0,1,8,46,55,32,7,1,1,0,0
2016-01-01 22:50:00,0,0,0,0,0,3,9,38,40,58,12,3,0,0,0
2016-01-01 22:55:00,0,0,0,0,0,0,6,23,35,45,9,2,0,0,0
2016-01-01 23:00:00,0,0,0,0,0,3,12,30,42,32,6,1,0,0,0
2016-01-01 23:05:00,0,0,0,0,0,0,8,32,50,19,6,0,0,0,0
2016-01-01 23:10:00,0,0,0,0,1,3,19,31,57,31,9,0,0,0,0
2016-01-01 23:15:00,0,0,0,0,0,0,6,29,41,23,3,1,0,0,0
2016-01-01 23:20:00,0,0,0,0,0,3,7,38,29,24,3,3,0,0,0
2016-01-01 23:25:00,0,0,0,0,0,6,14,26,44,29,11,0,0,0,0
2016-01-01 23:30:00,0,0,0,0,0,0,6,30,57,27,10,3,0,0,0
2016-01-01 23:35:00,0,0,0,0,0,4,15,39,37,25,4,0,0,0,0
2016-01-01 23:40:00,0,0,0,0,0,3,21,40,46,18,11,3,0,0,0
2016-01-01 23:45:00,0,0,0,0,0,0,4,27,46,14,8,2,0,0,0
2016-01-01 23:50:00,0,0,0,0,1,1,10,37,41,17,9,0,0,0,0
2016-01-01 23:55:00,0,0,0,0,0,2,12,25,35,34,7,2,0,0,0
2016-01-02 00:00:00,0,0,0,0,0,0,6,24,36,23,4,2,0,0,0
2016-01-02 00:05:00,0,0,0,0,0,2,9,22,43,22,6,0,0,1,0
2016-01-02 00:10:00,0,0,0,0,0,0,11,30,29,31,10,2,0,0,0
2016-01-02 00:15:00,0,0,0,0,1,1,15,35,40,27,3,0,0,0,0
2016-01-02 00:20:00,0,0,0,0,0,1,7,33,19,11,4,0,0,0,0
2016-01-02 00:25:00,0,0,0,0,0,2,14,33,34,15,5,0,0,0,0
2016-01-02 00:30:00,0,0,0,0,0,2,11,23,44,13,6,0,0,0,0
2016-01-02 00:35:00,0,0,0,0,0,1,8,33,40,13,2,2,0,0,0
2016-01-02 00:40:00,0,0,0,0,0,1,10,14,34,12,4,0,0,0,0
2016-01-02 00:45:00,0,0,0,0,1,0,9,21,24,15,3,1,0,0,0
2016-01-02 00:50:00,0,0,0,0,0,0,4,12,25,22,2,2,0,0,0
2016-01-02 00:55:00,0,0,0,0,0,0,10,25,33,11,1,0,1,0,0
2016-01-02 01:00:00,0,0,0,0,0,2,1,21,23,22,2,1,1,0,0
2016-01-02 01:05:00,0,0,0,0,0,0,15,22,32,14,4,0,0,0,0
2016-01-02 01:10:00,0,0,0,0,0,0,2,24,25,21,2,3,0,0,0
2016-01-02 01:15:00,0,0,0,0,0,2,10,12,33,26,8,2,1,0,0
2016-01-02 01:20:00,0,0,0,0,0,0,5,24,23,19,3,1,0,0,0
2016-01-02 01:25:00,0,0,0,0,0,0,2,18,28,22,5,2,0,0,0
2016-01-02 01:30:00,0,0,0,0,0,1,7,25,31,19,5,1,0,0,0
2016-01-02 01:35:00,0,0,0,0,0,1,3,13,25,20,7,0,1,0,0
2016-01-02 01:40:00,0,0,0,0,0,1,8,11,24,17,2,0,0,0,0
2016-01-02 01:45:00,0,0,0,0,0,0,3,14,19,19,7,0,0,0,0
2016-01-02 01:50:00,0,0,0,0,0,0,5,14,26,24,5,1,0,0,0
2016-01-02 01:55:00,0,0,0,0,0,0,6,14,25,16,6,2,0,0,0
2016-01-02 02:00:00,0,0,0,0,0,0,11,17,22,14,2,4,1,0,0
2016-01-02 02:05:00,0,0,0,0,0,3,3,23,26,16,5,0,0,0,0
2016-01-02 02:10:00,0,0,0,0,0,1,11,26,30,20,8,0,0,0,0
2016-01-02 02:15:00,0,0,0,0,0,0,6,16,29,21,5,1,0,0,0
2016-01-02 02:20:00,0,0,0,0,0,1,4,17,20,15,7,2,0,0,0
2016-01-02 02:25:00,0,0,0,0,0,1,6,17,28,22,2,0,0,0,0
2016-01-02 02:30:00,0,0,0,0,1,0,2,12,27,22,6,1,0,0,0
2016-01-02 02:35:00,0,0,0,0,0,1,4,14,23,24,4,0,0,0,0
2016-01-02 02:40:00,0,0,0,0,0,0,4,18,19,12,4,0,0,0,0
2016-01-02 02:45:00,0,0,0,0,0,1,8,12,25,11,2,2,0,0,0
2016-01-02 02:50:00,0,0,0,0,0,0,3,17,21,13,6,1,0,0,0
2016-01-02 02:55:00,0,0,0,0,0,0,4,19,25,12,4,0,0,0,0
2016-01-02 03:00:00,0,0,0,0,0,0,3,8,20,20,13,3,1,0,0
2016-01-02 03:05:00,0,0,0,0,0,1,4,12,21,6,4,1,2,0,0
2016-01-02 03:10:00,0,0,0,0,0,0,2,9,26,27,6,0,2,0,0
2016-01-02 03:15:00,0,0,0,0,1,1,4,10,23,14,9,1,0,0,0
2016-01-02 03:20:00,0,0,0,0,0,1,4,12,14,21,7,2,0,0,0
2016-01-02 03:25:00,0,0,0,0,0,0,5,8,29,17,1,1,0,0,0
2016-01-02 03:30:00,0,0,0,0,0,1,4,16,25,15,8,3,0,0,0
2016-01-02 03:35:00,0,0,0,0,0,0,1,8,20,26,6,1,0,0,0
2016-01-02 03:40:00,0,0,0,0,0,0,0,5,26,14,5,1,0,0,0
2016-01-02 03:45:00,0,0,0,0,0,3,4,21,20,23,1,3,0,0,0
2016-01-02 03:50:00,0,0,0,0,0,0,3,12,22,19,1,1,0,0,0
2016-01-02 03:55:00,0,0,0,0,0,0,0,15,10,21,3,1,1,0,0
2016-01-02 04:00:00,0,0,0,0,0,2,3,13,26,21,8,1,0,0,0
2016-01-02 04:05:00,0,0,0,0,0,2,5,9,29,12,4,1,1,0,0
2016-01-02 04:10:00,0,0,0,0,0,1,2,9,20,13,4,3,1,0,0
2016-01-02 04:15:00,0,0,0,0,0,1,7,8,14,22,3,1,0,0,0
2016-01-02 04:20:00,0,0,0,0,1,0,6,17,24,36,4,0,1,0,0
2016-01-02 04:25:00,0,0,0,0,0,3,3,22,22,23,6,2,0,0,0
2016-01-02 04:30:00,0,0,0,0,1,0,3,13,31,12,9,4,0,0,0
2016-01-02 04:35:00,0,0,0,0,0,0,2,15,29,21,7,1,0,0,0
2016-01-02 04:40:00,0,0,0,0,0,0,8,22,28,22,8,2,0,0,0
2016-01-02 04:45:00,0,0,0,0,0,1,1,16,19,28,10,1,1,0,0
2016-01-02 04:50:00,0,0,0,0,0,0,2,11,28,22,10,5,0,0,0
2016-01-02 04:55:00,0,0,0,0,0,0,1,9,19,12,8,2,0,0,0
2016-01-02 05:00:00,0,0,0,0,1,1,4,17,31,21,9,0,1,0,0
2016-01-02 05:05:00,0,0,0,0,0,0,2,15,36,27,14,2,1,0,0
2016-01-02 05:10:00,0,0,0,0,0,0,0,16,35,23,6,1,0,0,0
2016-01-02 05:15:00,0,0,0,0,0,0,1,17,28,21,11,3,0,0,0
2016-01-02 05:20:00,0,0,0,0,0,1,6,19,19,25,4,4,0,0,0
2016-01-02 05:25:00,0,0,0,0,0,0,3,19,28,21,7,1,0,0,0
2016-01-02 05:30:00,0,0,0,0,0,0,4,17,33,23,9,3,0,0,0
2016-01-02 05:35:00,0,0,0,0,0,2,6,19,34,21,8,3,0,0,0
2016-01-02 05:40:00,0,0,0,0,0,0,4,25,34,26,3,3,0,0,0
2016-01-02 05:45:00,0,0,0,1,1,1,11,19,26,28,10,2,0,0,0
2016-01-02 05:50:00,0,0,0,0,0,0,4,15,38,31,13,0,0,0,0
2016-01-02 05:55:00,0,0,0,0,0,1,6,15,27,25,6,2,0,0,0
2016-01-02 06:00:00,0,0,0,0,0,0,2,25,24,25,6,2,0,0,0
2016-01-02 06:05:00,0,0,0,0,0,0,6,16,32,27,13,0,2,0,0
2016-01-02 06:10:00,0,0,0,0,0,2,7,25,39,25,9,1,0,0,0
2016-01-02 06:15:00,0,0,0,0,0,0,1,19,27,23,10,4,0,0,0
2016-01-02 06:20:00,0,0,0,0,0,0,7,32,41,30,10,1,0,0,0
2016-01-02 06:25:00,0,0,0,0,1,1,3,36,41,31,11,2,1,0,0
2016-01-02 06:30:00,0,0,0,0,0,0,8,14,41,40,9,1,0,0,0
2016-01-02 06:35:00,0,0,0,0,0,3,13,40,55,44,10,5,0,0,0
2016-01-02 06:40:00,0,0,0,0,0,0,6,42,61,51,15,1,0,0,0
2016-01-02 06:45:00,0,0,0,0,0,3,7,35,51,49,7,3,2,0,0
2016-01-02 06:50:00,0,0,0,0,0,0,3,32,47,44,14,4,0,0,0
2016-01-02 06:55:00,0,0,0,0,0,0,8,30,45,23,11,2,1,0,0
2016-01-02 07:00:00,0,0,0,0,1,1,1,14,50,53,17,7,0,0,2
2016-01-02 07:05:00,0,0,1,0,0,1,5,24,36,33,15,5,0,0,0
2016-01-02 07:10:00,0,0,0,0,0,1,3,19,38,51,13,5,2,0,0
2016-01-02 07:15:00,0,0,0,0,0,0,12,20,56,43,22,8,1,1,0
2016-01-02 07:20:00,0,0,0,0,0,1,5,12,45,50,20,10,0,0,0
2016-01-02 07:25:00,0,0,0,0,0,1,2,24,37,54,25,10,0,0,0
2016-01-02 07:30:00,0,0,0,0,0,1,3,21,43,54,29,13,3,1,1
2016-01-02 07:35:00,0,0,0,0,0,1,5,23,42,61,28,11,2,0,0
2016-01-02 07:40:00,0,0,0,0,0,3,4,32,66,53,31,7,0,0,0
2016-01-02 07:45:00,0,0,0,0,0,1,5,20,52,58,34,12,0,0,0
2016-01-02 07:50:00,0,0,0,0,0,0,4,11,49,72,30,11,2,1,0
2016-01-02 07:55:00,0,0,0,0,0,0,0,24,57,65,30,6,0,0,0
2016-01-02 08:00:00,0,0,0,0,1,1,0,24,58,53,25,8,1,0,0
2016-01-02 08:05:00,0,0,0,0,0,1,0,14,54,57,38,13,4,0,0
2016-01-02 08:10:00,0,0,0,0,0,0,2,17,44,76,36,9,1,0,0
2016-01-02 08:15:00,0,0,0,0,0,0,2,18,58,43,42,8,0,1,1
2016-01-02 08:20:00,0,0,0,0,0,0,3,23,57,56,29,4,3,0,0
2016-01-02 08:25:00,0,0,0,0,0,0,8,21,58,75,36,12,3,0,0
2016-01-02 08:30:00,0,0,0,0,0,0,2,18,66,73,41,13,2,1,0
2016-01-02 08:35:00,0,0,0,0,0,2,12,24,53,76,32,6,4,0,0
2016-01-02 08:40:00,0,0,0,0,0,0,2,25,64,84,35,11,4,1,0
2016-01-02 08:45:00,0,0,0,0,0,0,2,16,61,80,47,13,4,2,0
2016-01-02 08:50:00,0,0,0,0,0,0,8,15,87,78,43,9,0,0,0
2016-01-02 08:55:00,0,0,0,0,0,0,6,24,68,74,31,2,1,0,0
2016-01-02 09:00:00,0,0,0,0,0,0,2,34,85,65,22,5,0,0,0
2016-01-02 09:05:00,0,0,0,0,0,0,10,20,78,73,23,8,1,0,0
2016-01-02 09:10:00,0,0,0,0,0,0,3,43,89,86,34,9,2,0,0
2016-01-02 09:15:00,0,0,0,0,0,0,4,19,61,88,49,7,2,0,0
2016-01-02 09:20:00,0,0,0,0,0,2,5,35,87,77,39,9,0,0,0
2016-01-02 09:25:00,0,0,0,0,0,0,9,47,82,91,32,10,0,0,0
2016-01-02 09:30:00,0,0,0,0,0,0,5,31,81,97,47,10,4,0,0
2016-01-02 09:35:00,0,0,0,0,0,0,9,30,70,67,55,17,3,0,0
2016-01-02 09:40:00,0,0,0,0,0,1,2,46,77,93,34,8,0,0,0
2016-01-02 09:45:00,0,0,0,0,0,0,5,27,69,119,46,8,0,2,0
2016-01-02 09:50:00,0,0,0,0,0,0,7,38,81,88,47,7,1,0,0
2016-01-02 09:55:00,0,0,0,0,0,1,9,47,93,114,36,11,1,0,0
2016-01-02 10:00:00,0,0,0,0,0,1,6,36,69,103,53,19,4,0,0
2016-01-02 10:05:00,0,0,0,0,0,0,5,30,69,80,43,23,1,0,0
2016-01-02 10:10:00,0,0,0,0,0,0,5,44,79,94,44,14,3,0,0
2016-01-02 10:15:00,0,0,0,0,0,2,13,34,73,115,41,12,0,0,0
2016-01-02 10:20:00,0,0,0,0,0,0,15,36,81,86,54,17,1,0,0
2016-01-02 10:25:00,0,0,0,0,0,7,10,43,113,86,44,7,1,0,0
2016-01-02 10:30:00,0,0,0,0,0,2,13,36,110,92,35,13,2,0,0
2016-01-02 10:35:00,0,0,0,0,0,3,8,45,107,92,48,10,0,0,0
2016-01-02 10:40:00,0,0,0,0,0,1,8,39,109,112,39,15,0,1,1
2016-01-02 10:45:00,0,0,0,0,1,2,13,55,104,90,32,3,0,0,0
2016-01-02 10:50:00,0,0,0,0,0,1,11,54,98,108,38,18,0,0,0
2016-01-02 10:55:00,0,0,0,0,0,0,11,64,112,107,37,4,0,0,1
2016-01-02 11:00:00,0,0,0,0,0,0,10,61,121,108,43,7,2,0,0
2016-01-02 11:05:00,0,0,0,0,0,0,9,59,102,116,49,7,1,0,0
